Brand,Model_No,SubmitStatus,Config,Country,Power Input (kW),Cooling Capacity (kW),Refrigerant,Type,Variable Output Compressor,IMG
PANASONIC,S-71PT2E5B/U-71PE1R5A,Approved,Non Ducted,China,1.93,7.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c4b5b2313edcd?text=PANASONICS-71PT2E5B/U-71PE1R5A
PANASONIC,S-71PF1E5B/U-71PE1R5A,Approved,Ducted,China,1.85,7.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/cb12039014b20?text=PANASONICS-71PF1E5B/U-71PE1R5A
PANASONIC,S-100PF1E5B/U-100PE1R5A,Approved,Ducted,China,2.44,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/375b0a473497?text=PANASONICS-100PF1E5B/U-100PE1R5A
PANASONIC,S-125PF1E5B/U-125PE1R5A,Approved,Ducted,China,3.57,12.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/39c0bc1765cc?text=PANASONICS-125PF1E5B/U-125PE1R5A
PANASONIC,S-140PF1E5B/U-140PE1R5A,Approved,Ducted,China,4.31,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/86204c6e2a58?text=PANASONICS-140PF1E5B/U-140PE1R5A
PANASONIC,S-100PF1E5B/U-100PE1R8A,Approved,Ducted,China,2.44,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/17db7a799fd22?text=PANASONICS-100PF1E5B/U-100PE1R8A
PANASONIC,S-125PF1E5B/U-125PE1R8A,Approved,Ducted,China,3.57,12.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/a0793d82bfb27?text=PANASONICS-125PF1E5B/U-125PE1R8A
PANASONIC,S-140PF1E5B/U-140PE1R8A,Approved,Ducted,China,4.31,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c9d74102b04e?text=PANASONICS-140PF1E5B/U-140PE1R8A
PANASONIC,S-125PU2E5B/U-125PE1R5A,Approved,Non Ducted,China,3.37,12.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/d0a332394c8c?text=PANASONICS-125PU2E5B/U-125PE1R5A
PANASONIC,U-4LE2R8,Approved,Ducted,Malaysia,2.69,12.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/bae2aa412f64?text=PANASONICU-4LE2R8
PANASONIC,U-4LE2R8E / S-28MF2E5A / S-28MF2E5A / S-28MF2E5A / S-36MF2E5A,Approved,Ducted,Malaysia,2.69,12.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/59542c0c8dfe?text=PANASONICU-4LE2R8E / S-28MF2E5A / S-28MF2E5A / S-28MF2E5A / S-36MF2E5A
PANASONIC,U-4LE2R8 / S-28MF2E5A / S-28MF2E5A / S-28MF2E5A / S-36MF2E5A,Approved,Ducted,Malaysia,2.69,12.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/de28bc251bba?text=PANASONICU-4LE2R8 / S-28MF2E5A / S-28MF2E5A / S-28MF2E5A / S-36MF2E5A
HITACHI,RAS-8FSNS,Approved,Non Ducted,Japan,5.33,22.4,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/89a336760589?text=HITACHIRAS-8FSNS
