Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,No. of confirmed- probable and suspected cases,No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,No. of confirmed-probable and suspected deaths
United States of America,22/01/2015,0,0,4,4,0,0,1,1
Nigeria,22/01/2015,0,1,19,20,0,1,7,8
Sierra Leone,22/01/2015,2166,287,7909,10362,158,208,2787,3153
Mali,22/01/2015,0,1,7,8,0,0,0,6
Guinea,22/01/2015,12,319,2542,2873,0,319,1560,1879
Spain,22/01/2015,0,0,1,1,0,0,0,0
United Kingdom,22/01/2015,0,0,1,1,0,0,0,0
Sierra Leone,23/01/2015,2192,287,7921,10400,158,208,2793,3159
Mali,23/01/2015,0,1,7,8,0,0,0,6
Liberia,23/01/2015,3534,1854,3136,8524,0,0,0,3636
Spain,23/01/2015,0,0,1,1,0,0,0,0
Guinea,23/01/2015,9,319,2545,2873,0,319,1561,1880
Senegal,23/01/2015,0,0,1,1,0,0,0,0
Nigeria,23/01/2015,0,1,19,20,0,1,7,8
United States of America,23/01/2015,0,0,4,4,0,0,1,1
United Kingdom,23/01/2015,0,0,1,1,0,0,0,0
Senegal,26/01/2015,0,0,1,1,0,0,0,0
Sierra Leone,26/01/2015,2241,287,7963,10491,158,208,2829,3195
Nigeria,26/01/2015,0,1,19,20,0,1,7,8
United States of America,26/01/2015,0,0,4,4,0,0,1,1
Guinea,26/01/2015,18,332,2559,2909,0,332,1574,1906
United Kingdom,26/01/2015,0,0,1,1,0,0,0,0
Mali,26/01/2015,0,1,7,8,0,0,0,6
Liberia,26/01/2015,3534,1854,3136,8524,0,0,0,3636
Spain,26/01/2015,0,0,1,1,0,0,0,0
Mali,27/01/2015,0,1,7,8,0,0,0,6
Liberia,27/01/2015,3620,1864,3138,8622,0,0,0,3686
United States of America,27/01/2015,0,0,4,4,0,0,1,1
Spain,27/01/2015,0,0,1,1,0,0,0,0
Nigeria,27/01/2015,0,1,19,20,0,1,7,8
Senegal,27/01/2015,0,0,1,1,0,0,0,0
Sierra Leone,27/01/2015,2263,287,7968,10518,158,208,2833,3199
United Kingdom,27/01/2015,0,0,1,1,0,0,0,0
Guinea,27/01/2015,16,332,2569,2917,0,332,1578,1910
Senegal,28/01/2015,0,0,1,1,0,0,0,0
Liberia,28/01/2015,3620,1864,3138,8622,0,0,0,3686
United States of America,28/01/2015,0,0,4,4,0,0,1,1
Sierra Leone,28/01/2015,2263,287,7968,10518,158,208,2833,3199
Spain,28/01/2015,0,0,1,1,0,0,0,0
United Kingdom,28/01/2015,0,0,1,1,0,0,0,0
Mali,28/01/2015,0,1,7,8,0,0,0,6
Nigeria,28/01/2015,0,1,19,20,0,1,7,8
Guinea,28/01/2015,16,332,2569,2917,0,332,1578,1910
Mali,29/01/2015,0,1,7,8,0,0,0,6
Nigeria,29/01/2015,0,1,19,20,0,1,7,8
Spain,29/01/2015,0,0,1,1,0,0,0,0
Liberia,29/01/2015,3641,1864,3138,8643,0,0,0,3700
United States of America,29/01/2015,0,0,4,4,0,0,1,1
Senegal,29/01/2015,0,0,1,1,0,0,0,0
Sierra Leone,29/01/2015,2273,287,7977,10537,158,208,2841,3207
Guinea,29/01/2015,18,332,2571,2921,0,332,1579,1911
United Kingdom,29/01/2015,0,0,1,1,0,0,0,0
Spain,30/01/2015,0,0,1,1,0,0,0,0
Liberia,30/01/2015,3641,1864,3138,8643,0,0,0,3700
Sierra Leone,30/01/2015,2285,287,7989,10561,158,208,2850,3216
United Kingdom,30/01/2015,0,0,1,1,0,0,0,0
Senegal,30/01/2015,0,0,1,1,0,0,0,0
United States of America,30/01/2015,0,0,4,4,0,0,1,1
Guinea,30/01/2015,13,332,2575,2920,0,332,1581,1913
Nigeria,30/01/2015,0,1,19,20,0,1,7,8
Mali,30/01/2015,0,1,7,8,0,0,0,6
Liberia,2/02/2015,3666,1864,3138,8668,0,0,0,3710
Sierra Leone,2/02/2015,2378,287,8042,10707,158,208,2908,3274
United States of America,2/02/2015,0,0,4,4,0,0,1,1
Nigeria,2/02/2015,0,1,19,20,0,1,7,8
Senegal,2/02/2015,0,0,1,1,0,0,0,0
Guinea,2/02/2015,24,342,2593,2959,0,342,1595,1937
Mali,2/02/2015,0,1,7,8,0,0,0,6
Spain,2/02/2015,0,0,1,1,0,0,0,0
United Kingdom,2/02/2015,0,0,1,1,0,0,0,0
Guinea,3/02/2015,20,347,2608,2975,0,347,1597,1944
Mali,3/02/2015,0,1,7,8,0,0,0,6
Senegal,3/02/2015,0,0,1,1,0,0,0,0
Liberia,3/02/2015,3717,1869,3143,8729,0,0,0,3739
Nigeria,3/02/2015,0,1,19,20,0,1,7,8
United Kingdom,3/02/2015,0,0,1,1,0,0,0,0
Spain,3/02/2015,0,0,1,1,0,0,0,0
Sierra Leone,3/02/2015,2394,287,8059,10740,158,208,2910,3276
United States of America,3/02/2015,0,0,4,4,0,0,1,1
Sierra Leone,4/02/2015,2394,287,8059,10740,158,208,2910,3276
Mali,4/02/2015,0,1,7,8,0,0,0,6
Liberia,4/02/2015,3732,1870,3143,8745,0,0,0,3746
Guinea,4/02/2015,20,347,2608,2975,0,347,1597,1944
Spain,4/02/2015,0,0,1,1,0,0,0,0
United Kingdom,4/02/2015,0,0,1,1,0,0,0,0
Senegal,4/02/2015,0,0,1,1,0,0,0,0
